 ,Area,Mean,Min,Max
1,7,5285.429,2729,7500
2,9,12481.222,5531,24517
3,8,12413.625,6047,18669
4,8,18236.250,11356,27311
5,8,16886.500,10756,28231
6,9,11528.000,4276,20202
7,9,7929.000,3962,14113
8,7,8953.714,4688,15350
9,8,13642.875,7104,22582
10,9,22865.222,17181,27965
11,8,25027.125,20765,31286
12,9,12898.556,8297,18864
13,7,9700.857,3783,15336
14,7,16432.429,8963,22284
15,8,15254.250,10325,21574
16,7,10365.571,4244,14734
17,8,10517.875,5586,15006
18,8,6005.750,2682,11557
19,9,16673.667,11727,23724
20,8,8499.875,4469,15468
21,9,18008.111,12136,23487
22,9,13999.000,9304,22608
23,9,12514.111,6046,22579
24,7,15434.714,9865,21472
25,6,11827.333,8222,17637
26,8,18748.250,12688,25462
27,7,24262.429,18756,32922
28,9,16548.556,11669,25791
29,7,13314.143,7084,23958
30,8,10911.500,3996,21173
31,7,6439.286,3099,14101
32,9,24986.444,13478,37467
33,9,13374.556,8766,18993
34,9,20395.111,13998,25281
35,8,17694.875,8836,28990
36,9,24514.333,18798,31348
37,8,7777.625,3022,18160
38,7,15904.857,11837,25752
39,9,10760.444,4792,14995
40,9,15317.556,7967,29659
41,9,17772.667,9615,28546
42,9,13019.222,7298,17543
43,9,15730.556,5425,26347
44,8,13795.125,8139,24458
45,8,16022.500,8264,19944
46,8,16891.625,10990,22172
47,9,14502.556,10594,22225
48,7,14322.000,9638,22190
49,5,3669.600,1933,7833
50,8,15915.875,7221,23935
51,9,14086.667,6146,22844
52,9,32018.333,20333,42474
53,10,20803.600,14985,35482
54,9,9520.778,4410,16617
55,8,6413.500,2493,13690
56,7,19426.857,10529,25558
57,8,21824.000,15767,30590
58,8,22110.250,15293,31132
59,8,17876.875,15535,19459
60,7,13637.714,3310,29077
61,7,30423.714,16906,41139
62,9,27956.222,11624,42508
63,8,16512.750,10662,23114
64,8,16402.500,12651,22353
65,10,12497.200,4672,22990
66,9,24800.889,14118,33598
67,8,23266.375,15828,27566
68,8,19421.375,12759,37915
69,6,28659.000,25757,30595
70,9,9197.333,5690,13807
71,8,16370.500,7692,21522
72,9,14112.333,5564,22639
73,8,18380.250,6367,28813
74,9,29589.667,22288,38924
75,9,26034.000,18754,29439
76,9,17090.000,11055,21408
77,9,18131.333,9134,31278
78,9,21093.444,15691,28222
79,10,12427.200,4880,22228
80,7,15515.571,13310,16641
81,9,13850.333,10479,15314
82,8,5819.000,3085,11148
83,8,17900.625,12970,25317
84,8,36008.625,26285,43237
85,7,16182.571,11613,20307
86,8,20583.375,12929,25509
87,7,11411.714,8148,14887
88,8,23041.500,21002,28137
89,8,37238.000,24897,49423
90,8,27745.125,10417,44461
91,8,15224.750,7299,19940
92,9,43320.667,21374,53770
93,8,15160.125,8071,22078
94,7,13661.143,9690,18056
95,9,10477.667,5128,28398
96,8,28403.625,18207,37195
97,8,22323.125,15042,28383
98,10,19599.000,10281,27508
99,8,19142.250,11109,31134
100,10,15420.700,8668,27615
101,9,26619.889,16514,38655
102,9,22780.889,18550,30297
103,8,30327.750,20903,37411
104,9,25526.556,19385,29742
105,9,21030.444,13587,38260
106,7,27963.429,20372,36405
107,9,18801.667,14883,21876
108,7,14225.571,9401,19146
109,8,13602.875,6367,22734
110,9,10990.444,8071,15899
111,10,21830.100,13060,32335
112,8,21440.250,15909,26469
113,8,16741.750,12296,24884
114,10,8263.400,3625,19941
115,9,14017.222,8270,22022
116,8,11852.250,4720,19571
117,7,13408.286,5941,21982
118,7,22212.429,11844,25316
119,8,26331.375,20228,34453
120,8,23600.750,21144,25676
121,9,12348.333,8320,19594
122,10,13130.900,8635,19116
123,9,28934.333,21417,36410
124,10,15464.400,10406,21444
125,9,18701.000,12425,26350
126,7,9273.143,5610,13176
127,9,20678.000,8536,38372
