 ,Area,Mean,Min,Max
1,8,19457.000,17182,24020
2,9,19418.444,11423,30237
3,8,24851.250,18253,32863
4,9,23993.333,17068,29063
5,9,21162.778,14689,33666
6,8,23500.250,19545,29813
7,8,27666.750,21975,36308
8,8,19366.625,15914,22118
9,9,17674.889,11020,26504
10,8,27266.125,21193,33273
11,8,24291.875,20194,29382
12,8,23089.000,17991,30978
13,8,19713.500,14609,23819
14,8,26497.000,21898,34581
15,9,20769.111,15740,24853
16,8,19400.500,12260,25595
17,9,21219.667,16767,25301
18,8,20117.750,11615,27529
19,8,39218.500,28983,58335
20,9,19183.444,13495,23992
21,8,26551.375,21339,30736
22,8,23615.000,17141,33914
23,8,21270.125,15107,30601
24,9,27119.556,18847,37726
25,8,24718.875,16139,31064
26,8,21482.750,17701,30435
27,8,16760.500,9332,21722
28,8,19515.750,14480,28157
29,8,19190.375,15960,23722
30,8,21909.125,11115,29439
31,9,22963.333,14715,28997
32,6,22160.167,19285,24864
33,8,17141.625,11223,22716
34,9,27185.333,17380,35304
35,8,37771.125,24651,47396
36,9,11591.333,5968,20624
37,9,15554.444,6258,27423
38,8,23530.375,17938,27997
39,7,24170.000,16765,34394
40,8,19536.875,12715,29705
41,10,34599.700,27580,49278
42,8,16172.750,11034,21782
43,7,17608.143,10404,36059
44,9,20087.889,14989,24941
45,8,19556.625,13361,27804
46,9,19323.333,9098,28185
47,9,25568.667,18636,30678
48,9,22470.667,13269,29098
49,9,20138.667,12077,31571
50,8,21323.875,14360,32331
51,9,17779.444,6506,33806
52,9,20000.222,15845,24252
53,9,16089.000,9512,20787
54,9,18277.444,13183,26654
55,7,21115.000,13264,28688
56,9,25883.889,11267,40043
57,8,17854.000,13699,23420
58,8,13543.125,6424,23897
59,9,14887.000,9025,22106
60,8,13224.750,5209,23900
61,8,12832.250,6774,21972
62,8,19302.875,14476,24669
63,9,18452.667,7858,27350
64,8,18421.125,11565,25675
65,9,18097.444,9773,22994
66,9,22140.333,14309,36707
67,7,17160.429,11337,23189
68,8,17461.250,11043,24350
69,7,18589.571,10589,26602
70,7,15504.571,11743,22139
71,8,21228.125,14941,30351
72,5,26537.400,23984,33182
73,7,18602.857,12893,25122
74,8,24957.000,15004,36397
75,8,16298.750,9918,22989
76,9,19512.556,15714,24016
77,9,15276.000,8647,21073
78,9,11873.333,2737,20884
79,9,13190.667,6821,17974
80,9,14141.111,10970,19112
81,9,12941.111,8420,18622
82,7,12644.571,7923,16398
83,9,11891.667,7201,15478
84,8,18957.000,14281,26661
85,7,15853.000,11242,23638
86,9,18023.222,8075,24539
87,8,12567.125,7762,19493
88,8,8181.375,4609,11613
89,9,18515.333,13146,25635
90,8,15908.125,10112,24458
91,9,18244.778,10922,26347
92,9,13583.778,10862,17543
93,9,17388.667,11807,22307
94,7,21071.000,11451,30521
95,10,17795.900,9984,31742
96,7,16335.000,14278,20004
97,9,17247.444,11194,25818
98,8,14685.750,11157,21264
99,7,8810.857,4416,14207
100,9,24514.333,18798,31348
101,10,18168.500,12804,25266
102,8,16126.500,8877,25281
103,8,12264.000,7543,16199
104,7,13048.143,6733,21557
105,9,13756.889,6491,29258
106,6,5845.167,3780,10158
107,8,24768.500,18863,30364
108,9,16548.556,11669,25791
109,8,17505.500,10357,25462
110,9,19972.333,11798,27512
111,6,16842.500,12175,21239
112,6,13134.833,5838,21715
113,9,8843.333,2743,15797
114,9,14707.111,11307,22190
115,8,21779.875,12525,33598
116,7,11176.000,5579,23098
117,8,17511.000,12352,26050
118,9,19871.444,11611,33463
119,6,15101.167,6617,24621
120,6,17967.000,13027,21911
121,9,27875.889,22974,39006
122,9,16915.222,11294,24741
123,8,24908.250,16083,32647
124,7,21422.286,16929,26482
125,9,24455.778,14453,33061
126,8,17360.375,11293,20665
127,8,30436.000,20150,42474
128,10,29789.000,16906,41139
129,9,35033.444,26442,47904
130,9,19429.889,11850,27566
131,8,23522.625,15983,33553
132,9,26935.778,16774,34142
133,9,16118.333,9131,25193
134,8,24978.625,20177,30233
135,9,17885.111,11334,23713
136,8,15169.250,11448,18750
137,8,33956.750,24762,42263
138,8,18770.875,13053,28055
139,9,7518.444,1609,16662
140,9,14859.778,9304,22608
141,9,16789.778,7254,23614
142,7,13882.571,10316,18637
143,8,27029.500,24472,30645
144,8,17475.000,11893,21049
145,9,17487.000,11053,23506
146,8,33113.125,22038,38605
147,10,16799.500,11830,24500
148,9,20876.778,13573,25938
149,7,22880.571,16020,37610
150,8,22166.000,13663,29736
151,10,21114.300,12687,38529
152,9,33496.889,24897,43644
153,9,33976.778,19668,44461
154,8,21726.000,14777,28137
155,8,24781.125,17050,31119
156,9,32799.444,24039,43237
157,9,23688.222,16657,30590
158,8,22110.250,15293,31132
159,9,14519.778,8656,21408
160,9,21093.444,15691,28222
161,9,20743.000,9347,31525
162,8,15741.250,10483,20119
163,9,17380.556,13094,22076
164,8,15577.500,9328,21637
165,7,18453.571,11874,28003
166,10,19062.700,12172,28398
167,9,19278.778,11267,28220
168,10,20133.700,13384,26721
169,9,23383.333,18548,33904
170,8,22424.625,13659,29769
171,8,31347.750,22288,38924
172,10,21971.100,11810,29439
173,9,20314.667,15844,27360
174,7,27141.429,21478,34764
175,9,20388.889,15713,24359
176,9,16746.333,10835,25398
177,9,19313.222,16022,24620
178,7,12346.286,7252,22739
179,9,25672.667,19934,32335
180,7,17654.143,13714,20892
181,9,21030.444,13587,38260
182,8,32316.250,25329,37411
183,8,29877.125,23845,38032
184,9,22719.778,14362,36405
185,8,26876.625,15602,35571
186,9,16106.333,9542,23346
187,7,24517.857,18523,31482
188,9,20508.111,17506,26295
189,8,28054.000,18661,36511
190,8,17499.625,10517,27597
191,8,18759.125,14498,24727
192,8,18623.875,13509,26483
193,8,21769.625,15137,25507
194,8,7914.375,4622,9965
195,9,26747.889,19073,36092
196,9,24002.889,15743,31629
197,8,23761.000,15356,35287
198,9,22946.333,12658,30273
199,8,21476.625,13264,28756
200,8,24790.125,17181,38245
201,7,18003.714,10041,25731
202,8,28435.375,21595,34279
203,8,22138.250,15693,31231
204,9,23119.778,14521,35212
205,9,21035.556,9105,40745
206,9,22159.556,12197,33700
207,8,11689.375,3566,17734
208,8,11505.000,7708,18014
209,6,13220.500,7223,22072
210,7,9784.857,3403,15955
211,7,16964.286,13672,23448
212,8,11128.250,4276,21574
213,8,16005.375,5372,28231
214,9,10383.000,5786,17702
215,7,20901.714,17067,27495
216,10,13539.800,7470,21990
217,8,11891.750,6973,18524
218,9,17997.222,10868,26562
219,7,23992.000,17962,31187
220,7,23211.000,17436,30253
221,8,18621.375,12782,27110
222,8,15175.250,11819,22878
223,9,19877.444,14931,26355
224,9,17836.444,9095,31157
225,8,19149.375,13633,24363
226,9,12481.222,5531,24517
227,10,15798.000,11595,18541
228,9,27219.000,19542,35341
229,7,15107.571,11386,18662
230,9,13740.000,7668,17868
231,10,23067.600,16073,30456
232,7,18794.429,13362,26816
