 ,Area,Mean,Min,Max
1,9,27342.556,12734,46787
2,9,28981.667,13541,47253
3,9,19855.778,9244,39708
4,9,13270.556,3033,33557
5,9,9505.000,3349,19556
6,9,37460.778,11744,62754
7,9,15183.889,5519,31524
8,8,14258.000,3643,36542
9,9,11137.556,4878,18787
10,9,13199.778,3839,22053
11,8,12229.750,4729,24244
12,9,10129.000,4701,16982
13,9,14331.556,3107,31184
14,8,13456.750,7438,19643
15,9,11859.667,4418,21710
16,9,13938.000,3363,20648
17,9,11577.889,7701,15993
18,9,9628.889,5050,13610
19,9,11031.778,4534,25067
20,8,13127.375,7391,20804
21,9,11814.444,4379,23048
22,9,19949.889,11336,29262
23,9,10817.333,4374,21359
24,9,9511.000,2840,19649
25,9,19066.000,10919,30472
26,8,14862.250,8073,33551
27,9,12428.889,4021,21911
28,8,11764.125,3455,25292
29,9,10086.667,5866,16459
30,9,13728.111,6427,23180
31,9,9174.556,4001,13941
32,9,10154.667,3965,19951
33,9,8376.222,2079,15958
34,9,10658.889,3817,24020
35,9,13741.778,10298,20383
36,9,9381.667,7136,14966
37,7,9267.286,4630,14650
38,9,11774.111,6464,22197
39,9,8662.222,5023,14841
40,9,7021.444,2827,14064
41,8,10945.625,4048,25828
42,9,6942.000,3722,12311
43,7,6719.286,1518,15714
44,9,14183.444,5788,34296
45,9,12382.222,5116,19266
46,9,8800.111,3762,12470
47,9,9396.444,1942,18977
48,9,7267.556,2138,13451
49,8,8498.625,2317,17833
50,9,6738.222,2577,12861
51,9,14482.444,2218,30848
52,9,10035.889,5208,16786
53,9,8913.667,5812,12483
54,9,8201.444,3007,13878
55,8,7967.250,2345,18936
56,9,7401.778,2059,15146
57,8,8482.125,4054,17806
58,9,9349.889,3396,20401
59,9,5921.889,1709,15595
60,9,6780.000,2776,10798
61,7,9714.857,4166,19382
62,8,5419.500,1251,9153
63,9,5907.000,1263,15625
64,9,11158.333,2001,21880
65,9,10611.444,4219,16562
66,9,15343.000,7093,26281
67,9,14266.444,4784,23958
68,9,7892.556,1551,16947
69,9,13355.667,4300,32316
70,8,9578.250,3733,16276
71,9,9083.111,1617,23160
72,8,6331.000,1259,11879
73,9,12435.333,3091,18171
74,9,8895.222,3241,19767
75,9,8895.222,2708,20920
76,9,6881.000,1755,11817
77,9,9701.222,4194,14020
78,9,11861.778,3634,16028
79,9,14617.222,2514,29612
80,8,12659.250,3044,24564
81,9,8618.000,2900,15782
82,9,11123.333,1687,26053
83,9,10680.778,4082,23241
84,8,8166.000,2670,16167
85,8,8497.000,3186,19453
86,9,7142.667,2353,13472
87,8,7603.125,1874,20477
88,9,9486.778,4708,21662
89,8,11356.750,3643,17688
90,9,7021.444,2827,14064
91,9,6852.333,2946,11674
92,7,9557.714,4101,13924
93,9,5414.111,1352,11153
94,9,6559.333,2863,10948
95,9,4426.667,1667,10226
96,7,3471.143,1477,7932
97,9,5494.667,2013,13858
98,9,4376.333,1767,11567
99,8,2789.375,912,6353
100,9,6262.778,1257,13874
101,9,4932.333,1936,8648
102,8,4866.000,2704,8977
103,9,4610.556,2590,7946
104,9,3394.556,0,8467
105,8,6070.750,2964,9921
106,9,3764.222,939,10862
107,8,2473.375,937,5551
108,9,5732.333,1899,13941
109,8,6270.625,3204,12603
110,8,5543.250,1861,11959
111,9,5081.444,929,9711
112,8,4671.750,1141,13005
113,9,4947.222,1894,8740
114,9,4090.889,870,13595
115,8,5038.000,1602,10045
116,7,6842.857,1294,19443
117,7,4643.714,1571,12701
118,9,4324.889,1659,13041
119,8,4679.875,1151,11008
120,9,3934.778,749,6800
121,8,4200.625,2563,8104
122,8,3817.750,1576,8024
123,9,3086.667,1770,6246
124,9,4492.556,1865,9374
125,8,2716.500,1788,6117
126,7,1287.429,882,1819
127,9,8071.889,4165,11939
128,8,4139.250,1399,8486
129,9,3417.667,1056,6353
130,9,3303.889,1558,5716
131,8,3132.875,1097,6707
132,9,3284.556,1542,4932
133,8,4571.125,2175,10027
134,7,3266.714,1544,9123
135,10,5151.800,2843,9019
136,7,4694.857,2680,7283
137,9,3417.111,1774,6629
138,9,2677.667,903,6050
