 ,Area,Mean,Min,Max
1,9,24505.889,16640,36830
2,8,17977.000,7365,27959
3,7,13114.571,10527,17208
4,7,8930.571,3477,15361
5,7,7852.000,4448,11521
6,9,9971.222,5981,15745
7,10,13956.700,6698,22259
8,7,13695.857,9915,19115
9,8,18162.500,10591,26177
10,7,16980.286,9362,25779
11,7,12592.000,7534,18830
12,8,7605.125,5230,10467
13,9,8199.889,5082,13681
14,9,14404.444,10303,21855
15,9,12420.111,8101,17070
16,8,14451.125,10834,19678
17,9,7548.000,4797,12598
18,8,5559.000,1648,8660
19,8,11709.250,9492,13073
20,8,3569.250,885,11596
21,7,7338.857,4011,13181
22,6,6375.500,4004,9030
23,8,14849.875,9069,19957
24,9,7648.000,2068,15873
25,8,11708.250,7594,19251
26,8,10691.625,8542,14724
27,8,13397.500,5029,26997
28,9,18674.889,10027,30280
29,10,16543.900,8512,21429
30,7,14930.000,11224,22932
31,9,13127.778,8543,18366
32,8,16054.250,8869,32331
33,8,13430.750,9827,18889
34,9,20768.778,12746,31252
35,9,13255.444,6781,19306
36,9,12678.111,5769,19822
37,8,10390.125,7711,16755
38,10,11634.900,4742,22226
39,8,17668.375,14954,19462
40,6,11377.000,4237,22606
41,7,13374.429,10847,17948
42,8,13149.125,8109,21337
43,10,11615.500,4506,23445
44,8,12501.875,3349,18337
45,9,16639.556,11883,25556
46,8,18015.125,12692,22106
47,6,12010.333,8018,15279
48,8,7038.625,1878,16325
49,9,8440.444,4310,19835
50,9,15332.111,9110,19127
51,9,21548.111,16565,27676
52,7,6526.714,3811,10804
53,9,11644.333,7947,17954
54,9,26026.889,14701,38972
55,8,20038.750,13914,30340
56,9,13646.444,5997,22415
57,9,7933.667,2775,14404
58,9,16101.778,9727,22789
59,9,16156.889,7035,33096
60,8,27647.875,17902,39332
61,7,15239.286,9300,23530
62,8,9416.500,4941,16329
63,8,15796.125,8640,24718
64,9,27370.889,20884,36389
65,7,7632.000,3798,16365
66,8,8131.250,2911,15357
67,9,20934.778,10690,36240
68,9,14892.444,8670,23184
69,6,8749.500,5834,13436
70,9,17702.333,9916,22858
71,9,5676.556,1585,10425
72,8,7308.250,3699,10534
73,9,19065.222,12149,29273
74,8,17490.125,12253,24882
75,7,3891.429,1548,6316
76,8,12791.375,8642,21683
77,8,12798.250,8530,17123
78,9,12863.000,6083,18436
79,7,11266.429,5844,18695
80,7,11434.429,7569,16521
81,9,5932.444,2221,12683
82,9,7868.222,4241,14543
83,9,11571.111,5136,18061
84,9,11921.111,5879,19952
85,8,17235.250,14740,21632
86,9,9853.111,3407,21905
87,6,10672.667,4831,18249
88,9,19481.667,13403,26684
89,8,16459.125,8743,23785
90,8,15866.625,7406,23724
91,6,12183.167,9210,16957
92,10,9155.800,6561,13151
93,7,15330.429,10245,21894
94,9,18832.667,15384,26538
95,7,14082.000,9859,21758
96,9,15776.333,11246,25408
97,8,18158.000,14906,22223
98,9,15030.778,9529,23519
99,7,16326.143,10744,29086
100,7,6409.714,4106,9477
101,8,20502.250,15794,31721
102,8,9541.375,4638,18750
103,7,16366.000,8087,24517
104,8,18755.000,13168,22846
105,9,20889.000,13510,30474
106,8,19895.500,13762,25718
107,8,14163.875,10587,19287
108,8,18846.750,15117,29570
109,9,7354.889,3835,14254
110,8,15962.250,12610,19005
111,8,26363.000,17786,33391
112,8,15761.375,10750,27317
113,8,15498.500,9862,20926
114,8,11838.375,5620,19234
115,9,18454.111,9802,31714
116,8,9958.125,5158,16733
117,7,15614.286,11493,21171
118,8,15762.375,12376,21204
119,9,5910.667,3075,10894
120,8,4852.625,763,10513
121,6,12953.333,7324,18718
122,9,9946.222,4711,18696
123,8,9544.875,7098,14695
124,9,25341.222,18218,34478
125,8,7342.125,3492,15412
126,8,14617.500,8483,23000
127,8,5941.000,3049,9350
128,6,13604.833,10648,19110
129,9,12636.667,0,27180
130,8,13798.375,9441,19627
131,8,18914.750,13538,26792
132,8,15380.875,9178,29788
133,8,12492.500,4661,20665
134,9,25637.000,17876,33264
135,9,6885.889,4002,10764
136,8,13442.250,7792,21778
137,10,12257.100,8478,22711
138,8,23844.125,20875,27392
139,8,10330.375,5202,15481
140,8,13326.125,6813,19886
141,9,12893.222,6701,21427
142,9,13027.889,0,46154
143,8,13075.750,5890,26102
144,9,14227.222,7420,21571
145,8,13134.750,9906,18482
146,9,12000.556,7771,18945
147,8,11599.000,9048,16898
148,7,8199.714,3609,14684
149,8,6153.750,3187,9866
150,9,8116.111,4010,16866
151,9,6058.000,3123,11498
152,5,4343.600,2339,6067
153,8,21585.625,14468,27429
154,8,11026.500,7999,14951
155,8,8372.375,4378,12647
156,7,4893.143,3699,6157
157,8,6917.125,4940,12009
158,8,7861.750,3604,11710
159,5,845.800,0,2297
160,9,3116.444,628,5883
161,9,4406.444,2636,5981
162,7,4710.857,3322,7362
163,8,7884.750,6453,9088
164,7,5481.571,3395,7667
165,7,3902.857,2610,4788
166,7,5867.000,2339,10721
167,8,4168.375,2906,6048
168,9,7329.333,3275,12892
169,7,7671.000,3534,17585
