 ,Area,Mean,Min,Max
1,12,10490.083,1511,34296
2,8,6126.375,1518,15714
3,10,6468.300,2205,12311
4,16,6853.812,1607,25828
5,8,8324.750,3452,14966
6,9,9957.778,2094,24020
7,9,13741.778,10298,20383
8,9,6939.333,2316,14064
9,7,9267.286,4630,14650
10,9,7221.889,2586,14841
11,8,6466.250,2855,13005
12,9,11774.111,6464,22197
13,8,9815.625,4174,17688
14,9,10727.111,2864,25292
15,9,13728.111,6427,23180
16,9,19066.000,10919,30472
17,8,14862.250,8073,33551
18,9,11383.556,5243,21911
19,9,8195.111,2550,16459
20,9,5911.222,826,13874
21,9,8342.667,1913,19951
22,9,8386.222,2276,15958
23,8,7046.875,2525,13941
24,8,4589.375,1215,20401
25,9,5108.222,1296,13941
26,8,5471.875,2051,11959
27,9,7596.222,2221,13451
28,8,6011.625,883,19649
29,8,8498.625,2317,17833
30,7,8496.286,2376,18977
31,7,10106.571,2713,22053
32,9,10278.222,3424,21359
33,9,28981.667,13541,47253
34,8,26418.500,9642,46787
35,9,12382.222,5116,19266
36,9,6698.889,3349,11674
37,9,19855.778,9244,39708
38,9,8071.889,4165,11939
39,7,9203.143,3439,12470
40,8,7063.125,1918,17806
41,8,13448.500,2310,33557
42,8,6530.875,1691,14976
43,8,12520.625,2768,24244
44,9,7441.000,1761,13924
45,9,7923.444,1897,14216
46,9,4915.111,1838,12144
47,7,11958.857,3739,15993
48,9,13906.889,6365,20648
49,8,9582.250,3285,19643
50,8,10705.250,2619,21710
51,9,9735.556,1721,31524
52,9,37460.778,11744,62754
53,7,14114.714,2217,36542
54,9,10741.333,4239,18787
55,8,7971.875,1945,15146
56,7,18245.286,4733,30848
57,8,10277.625,4678,16786
58,9,6377.222,1772,18936
59,7,2446.143,1340,5379
60,8,11556.375,5323,23048
61,8,7449.875,2773,13497
62,9,9931.889,2181,25067
63,10,462.800,392,538
64,7,15831.857,3933,31184
65,9,6848.000,1294,19382
66,9,7700.889,1451,28848
67,7,9714.857,4166,19382
68,9,11031.778,4534,25067
69,9,9469.778,1963,20804
70,9,4055.778,792,15625
71,9,14617.222,2514,29612
72,9,11096.333,2216,24564
73,8,8150.500,1692,15782
74,8,8656.750,1671,23241
75,8,7859.000,1949,23160
76,9,9371.000,2526,24920
77,9,10611.444,4219,16562
78,8,13343.625,6228,21880
79,9,12836.333,2744,23958
80,8,4324.000,853,16650
81,7,9214.000,2704,16947
82,8,6419.125,1500,11879
83,9,5449.889,900,16167
84,8,7286.625,1184,19453
85,9,8031.222,848,26053
86,9,6746.333,3127,9737
87,9,8439.222,1913,20920
88,9,6110.556,1803,11817
89,8,13582.625,1502,32316
90,9,8138.000,1947,16276
91,7,7861.429,1507,21662
92,9,5139.333,1384,13472
93,8,5887.125,1216,20477
94,8,1544.875,624,3643
95,9,5769.889,1426,12861
96,10,1042.600,346,2964
97,9,1859.444,650,5584
98,9,3079.667,753,8286
99,9,4932.333,1936,8648
100,8,4220.250,1572,8977
101,8,3348.250,901,7946
102,10,2081.400,666,8467
103,8,5915.125,1542,19767
104,9,5363.222,2357,10788
105,9,11164.333,4358,16028
106,9,12435.333,3091,18171
107,8,5238.625,2498,7926
108,8,5306.875,2733,8740
109,9,5042.222,1989,10045
110,8,3898.500,917,13595
111,8,3014.375,801,11567
112,8,2545.250,756,7239
113,7,5046.571,1759,8486
114,7,2932.429,1351,8219
115,8,6012.125,3984,7389
116,9,2889.889,1053,8024
117,9,4381.889,1478,12603
118,8,4292.125,1141,11008
119,7,3228.286,937,6045
120,8,3843.875,910,13858
121,8,5149.250,1603,10226
122,8,5353.000,1027,19443
