 ,Area,Mean,Min,Max
1,8,18066.875,7947,29694
2,8,24041.375,15841,34452
3,7,15852.571,7525,20798
4,8,16255.000,10790,20326
5,8,15869.625,11913,18487
6,8,14749.750,8938,27317
7,10,13563.400,9272,20926
8,6,24209.167,15052,33391
9,9,28754.667,20800,33391
10,9,14581.889,7436,23353
11,8,21741.750,14789,31846
12,9,17417.556,11560,22487
13,9,20272.222,13002,30048
14,9,24437.000,18523,30474
15,9,17711.889,9793,24517
16,6,14215.833,10089,19936
17,8,18939.875,14548,22846
18,8,18419.125,11467,24063
19,7,20697.571,13004,35926
20,8,16603.750,11266,23724
21,8,13730.125,10226,18364
22,9,16055.444,11033,25525
23,8,14534.125,6924,20516
24,9,15755.667,9007,24243
25,8,15053.875,8705,21568
26,8,18846.750,15117,29570
27,10,12948.000,8306,18805
28,8,13771.000,9443,17751
29,7,15413.143,14163,18672
30,9,12428.889,7577,18114
31,7,15294.000,6688,20545
32,7,16593.857,11290,26538
33,6,13712.500,8977,18076
34,9,19847.444,15794,31721
35,9,16996.889,9100,26319
36,9,17468.556,12325,29086
37,8,21177.875,12075,28765
38,8,15435.500,11849,18681
39,9,15825.000,10666,19966
40,10,15064.300,12535,18396
41,8,19687.375,14571,25042
42,9,16496.222,11378,21894
43,8,17301.125,9690,25388
44,9,12942.889,6935,22826
45,8,17668.375,14954,19462
46,7,18058.286,12241,23177
47,8,14713.000,9506,20830
48,8,16288.125,8353,21273
49,8,10754.375,5999,13023
50,8,15711.875,8258,25642
51,9,14224.222,9118,19278
52,9,10442.333,7175,13598
53,7,8757.857,0,23045
54,7,8945.000,0,16440
55,9,11255.778,4501,21648
56,8,14273.500,7376,22226
57,8,13034.500,9040,16755
58,8,13950.125,9177,17560
59,10,15795.800,11669,22932
60,7,11709.857,7813,15797
61,9,18898.000,11401,34334
62,8,13426.125,9827,19654
63,9,13486.000,8319,17506
64,8,17741.500,14922,21090
65,8,15296.250,7957,20594
66,8,19083.000,10098,27291
67,8,20241.000,11083,29864
68,8,18731.500,13532,27429
69,8,19131.375,13300,30018
70,9,17684.111,12530,24711
71,8,21143.875,12639,31577
72,9,9997.333,4488,14951
73,7,14222.143,8898,24752
74,9,25912.889,16244,33076
75,8,27609.875,14212,46298
76,9,22037.000,9077,34830
77,8,13618.750,8650,18863
78,9,32828.000,17472,45800
79,8,16220.250,9555,26997
80,7,13374.429,10847,17948
81,9,25015.778,15966,37474
82,9,23149.111,11882,30607
83,8,14649.125,8693,24038
84,8,12501.875,3349,18337
85,8,27577.750,21832,34992
86,9,20870.111,14106,26759
87,7,20372.000,9096,26663
88,8,17457.375,12506,22678
89,7,15252.857,9989,20359
90,10,12478.400,7170,16931
91,8,10975.125,6427,16352
92,10,10330.600,5465,14713
